type,title,cast,country,date_added,release_year,rating,listed_in,id,duration_int,duration_type,score
movie,lola & virginia (volume 4),"tara strong, jules de jongh, grey delisle, kath soucie, rob paulsen, carter jenkins",,,2005,g,"animation, kids",as1824,49,min,3.51
movie,lola & virginia (volume 2),"tara strong, jules de jongh, grey delisle, kath soucie, rob paulsen, carter jenkins",,,2005,g,"animation, kids",as1825,50,min,3.57
tv show,lol: last one laughing,"eugenio derbez, alex fernández, bárbara torres, el capi pérez, el diablito, gustavo mungía, iván la mole, kikis, ricardo o´farrill, slobotzky, verónica toussaint",,,2019,16+,comedy,as1826,2,season,3.58
tv show,lol: australia,"rebel wilson, joel creasey, frank woodley, anne edmonds, becky lucas, nick cody, nazeem hussain, dilruk jayasinha, susie youssef, sam simmons, ed kavalee",,,2020,16+,"comedy, international, special interest",as1827,1,season,3.52
tv show,lol surprise! winter disco,"tahani anderson, mykal-michelle harris",,,2019,all,kids,as1828,1,season,3.55
movie,loco love,"laura harring, gerardo mejia, roy werner, barbara eden",,,2003,pg,"comedy, romance",as1829,95,min,3.47
movie,local boy,"dhanush, sneha, mehreen pirzada, naveen chandra, naser, munishkanth, sathish",,,2020,all,"action, drama",as1830,140,min,3.52
movie,llamageddon,"louie thellama, pinkie brainwise, jacques m felin, gooch jesco iii, howie dewin, sunshine phoenix, l. lean burnside, e. b. buxxner, richard cymbals, leona l. dandee, chet steadman, erin stacy, aaron o.o. shanson, mary haddilam, john selmy",,,2018,16+,"horror, science fiction",as1831,69,min,3.62
movie,liz stewart: i'm crowning,liz stewart,,,2018,18+,"arts, entertainment, and culture, comedy, special interest",as1832,50,min,3.53
movie,living well with dementia,dr daniel j nightingale,,,2014,all,special interest,as1833,24,min,3.55
movie,living and dying,"edward furlong, michael madsen, bai ling, arnold vosloo",,,2007,r,"action, suspense",as1834,90,min,3.56
movie,live from lincoln center: rodgers and hammerstein's carousel,"kelli o'hara, audra mcdonald, nathan gunn, jessie mueller, jason danieley, stephanie blythe, shuler hensley, kate burton, john cullum, robert fairchild, tiler peck",,,2013,13+,documentary,as1835,133,min,3.53
tv show,little women: ny,"lila call, misty irwin",,,2016,tv-14,tv shows,as1836,2,season,3.5
tv show,little women: la,"tonya reneé banks, terra jole",,,2016,tv-14,unscripted,as1837,4,season,3.48
tv show,little women: dallas,"steve helling, bri barlup",,,2017,tv-14,tv shows,as1838,2,season,3.51
movie,little sweetheart,"john hurt, karen young",,,1989,r,suspense,as1839,93,min,3.6
movie,little men (1935),"ralph morgan, frankie darro, erin o'brien-moore, junior durkin, dickie moore, cora sue collins",,,1934,7+,drama,as1840,77,min,3.53
tv show,little men,"michelle rene thomas, spencer rochfort, rachel skarsten, corey sevier",,,1999,tv-g,"drama, historical",as1841,2,season,3.42
tv show,little dorrit,"claire foy, matthew macfadyen, tom courtenay, andy serkis, eddie marsan",,,2008,tv-pg,"drama, historical",as1842,1,season,3.57
tv show,little coincidences,"marta hazas, javier veiga, mariano peña, juan ibáñez, alicia rubio, iván sánchez, josé troncoso, tomás pozzi, xosé a. touriñán, juan lópez-tagle, sabrina praga, erdem tsydypov, lucía balas, álvaro balas, ana gracia",,,2021,7+,comedy,as1843,3,season,3.56
movie,little big man,"dustin hoffman, faye dunaway",,,1970,13+,"adventure, comedy, drama",as1844,139,min,3.56
tv show,little big awesome,"fred tatasciore, jessica mckenna, weird al yankovic, aimee mann, kate micucci, dana snyder, ennis esmer, lennon parham, roger l. jackson, betsy sodaro, lonny ross, jon luke thomas, kat palardy",united states,,2018,all,kids,as1845,2,season,3.57
movie,little baby bus and friends,,,,2019,all,"kids, special interest",as1846,21,min,3.47
movie,little baby bum presents: boo boo song and more nursery rhymes!,,,,2019,all,kids,as1847,37,min,3.5
movie,little baby bum adventure,"grace tamayo, erin webbs",,,2019,all,kids,as1848,33,min,3.58
movie,little baby bum - humpty dumpty and lots more kids songs,"grace tamayo, erin webbs",,,2020,all,kids,as1849,31,min,3.55
movie,little baby bum - christmas holiday songs for kids,,,,2013,all,kids,as1850,26,min,3.55
movie,"lisa loeb, nursery rhyme parade!",lisa loeb,,,2016,g,kids,as1851,33,min,3.5
movie,linsanity,"jeremy lin, yao ming, daniel dae kim, joe lacob, landry fields",,,2013,pg-13,"documentary, sports",as1852,89,min,3.54
movie,line of duty,"aaron eckhart, dina meyer, giancarlo esposito",,,2019,r,"action, adventure",as1853,99,min,3.5
movie,lincoln@gettysburg,"anthony aroya, robert broski, david corradetti, slade demarco",,,2014,13+,documentary,as1854,55,min,3.49
movie,like blood,"tallie brinson iii, sheldon a. smith, brandon mitchell, val vega",,,2019,18+,"drama, suspense",as1855,81,min,3.5
tv show,lights out!,,,,2012,tv-pg,"documentary, special interest",as1856,1,season,3.56
tv show,lights of the clione,"sayuri matsumura, shunya ohira, natsuko hara, rico sasaki, riho iida, aina suzuki, akari kageyama, yuki fujita, misaki ohashi, moa tsukino, kana aoi",,,2017,tv-nr,tv shows,as1857,1,season,3.5
movie,lighthouse island,"chris makepeace, helen burns, carolyn dunn, jerry nelson, margaret moore, john dunsworth, marty reno, bruce amstrong",,,1989,g,"fantasy, kids, suspense",as1858,25,min,3.53
movie,light of my life,"casey affleck, anna pniowsky, tom bower, elisabeth moss",,,2019,r,"drama, suspense",as1859,120,min,3.51
movie,life with murder,,,,2010,13+,"documentary, special interest",as1860,95,min,3.66
movie,life with father - 1947 color (digitally remastered version),"william powell, irene dunne, elizabeth taylor, edmund gwenn",,,2009,13+,comedy,as1861,113,min,3.51
tv show,life with elizabeth,"betty white, del moore, jack narz, dick garton",,,1954,13+,comedy,as1862,1,season,3.53
tv show,life on fire: wildlife on the volcano's edge,,,,2013,tv-g,"documentary, special interest",as1863,1,season,3.52
tv show,life of muhammad,,,,2013,tv-pg,"documentary, faith and spirituality, special interest",as1864,1,season,3.48
movie,life lessons from little baby bum,,,,2019,all,kids,as1865,34,min,3.5
tv show,life in pieces,"colin hanks, betsy brandt, thomas sadoski",,,2019,tv-14,tv shows,as1866,4,season,3.56
movie,life in color,"josh mcdermitt, katharine emmer, adam lustick, fortune feimster, jim o'heir",,,2016,13+,"arthouse, comedy, romance",as1867,85,min,3.56
movie,life in a year (4k uhd),"jaden smith, cara delevingne, cuba gooding jr., chris d'elia, jt neal, stony blyden, peter macneill, rza, nia long",,,2020,pg-13,drama,as1868,107,min,3.49
tv show,life in a tide pool,"danielle zacher, bruno pernet, jay smith, mike schaadt, kasey eunice",,,2015,all,"documentary, special interest",as1869,1,season,3.5
movie,lies & alibis,"steve coogan, rebecca romjin, james marsden, henry rollins, deborah unger, selma blair, james brolin, sam elliott, jaime king, john leguizamo",,,2006,r,"comedy, drama",as1870,91,min,3.64
movie,licks,"stanley hunt, koran streets, jon jerrell stallings, devon libran, tatiana monet, skipper elekwachi, les aderibigbe",,,2016,18+,drama,as1871,96,min,3.51
movie,liberty city the movie,"chalmers ""c.a."" lembrick, daniel ""deeloeso"" moore",,,2019,18+,"action, drama, suspense",as1872,44,min,3.55
movie,lewis black: black to the future,lewis black,,,2016,16+,"arts, entertainment, and culture, comedy",as1873,50,min,3.55
movie,let's sing again,"bobby breen, henry armetta, george houston, vivienne osborne, grant withers",,,1936,pg,"arts, entertainment, and culture",as1874,68,min,3.54
tv show,let's learn chinese,,,,2017,tv-y,"animation, international, kids",as1875,1,season,3.52
movie,let's go collegiate,"gale storm, frankie darro, marcia mae jones, jackie moran, keye luke, mantan moreland, frank sully, billy griffith, barton yarborough, frank faylen",,,1941,18+,"arts, entertainment, and culture",as1876,73,min,3.46
movie,les savy fav,,,,2011,nr,"arts, entertainment, and culture, music videos and concerts",as1877,55,min,3.5
tv show,leo the wildlife ranger,"su-ping chio, hillary blazer-doyle, joe murray",,,2015,all,"animation, kids",as1878,1,season,3.48
movie,leo the last,"marcello mastroianni, calvin lockhart",,,1970,r,drama,as1879,104,min,3.53
tv show,lego city adventures,joe zieja,,,2019,tv-y7,"action, animation, kids",as1880,1,season,3.61
tv show,legendary cities,,,,2014,7+,tv shows,as1881,1,season,3.51
movie,legendary,"dolph lundgren, scott adkins, james lance, lydia leonard",,,2014,pg-13,action,as1882,93,min,3.51
tv show,legend of the superstition mountains,frank augustine,,,2015,tv-pg,tv shows,as1883,1,season,3.55
tv show,legend of fuyao,"yang mi, ethan juan, zhang dongshen, hu ke",,,2018,18+,"drama, romance",as1884,1,season,3.57
tv show,legend of bruce lee,"danny chan, michael jai white, ray park, michelle lang",,,2008,tv-nr,"action, adventure, international",as1885,1,season,3.53
movie,legend,"sam cooke, lou rawls, aretha franklin, bobby womack, lou adler, lloyd price, luigi creatore, the magnificent montague, agnes cooke-hoskins, l.c cooke, charles cooke, linda cooke-womack, cecil womack, allen klein, andrew oldham",,,2021,13+,documentary,as1886,67,min,3.55
movie,leeches,"sherin bhatt, preeti golacha, sayani gupta, agha asker hussain, barkat khan, najma nusrat, manju raval, mohammed abdul razzak",,,2016,18+,drama,as1887,27,min,3.5
movie,led zeppelin - physical graffiti: a classic album under review,,,,2008,13+,documentary,as1888,91,min,3.52
movie,"learn, sing & dance with toddler fun learning",,,,2019,all,kids,as1889,38,min,3.54
tv show,learn with ted the train,,,,2017,all,"animation, kids, special interest",as1890,1,season,3.58
movie,learn with gecko,,,,2019,all,"kids, special interest",as1891,37,min,3.52
movie,learn with blippi - educational videos for kids,,,,2020,all,kids,as1892,60,min,3.53
movie,learn numbers with max the glow train and bill the monster truck,"matt jennings, jordan nistico",,,2015,all,kids,as1893,7,min,3.47
movie,learn colors with finger family and more,,,,2019,all,kids,as1894,30,min,3.56
movie,learn colors and race cars with max the glow train and his friends (colors and toys),,,,2016,all,kids,as1895,10,min,3.45
movie,"learn colors & play with paint with max the glow train, jake the fire truck and friends",,,,2016,all,kids,as1896,9,min,3.55
